user_id,full_name,dob,country,pep,occupation,source_of_funds,risk_level
1007766461,John Harris,1989-07-05,Lebanon,False,Biomedical engineer,Salary,medium
1008,Rebecca Garcia,1998-08-19,Chile,False,Civil Service administrator,Business Income,medium
1008159132,Carol Larsen,1965-08-14,Hong Kong,False,Building services engineer,Investments,low
1008340236,Jeremy Maldonado,1963-03-09,Thailand,False,Barrister's clerk,Business Income,medium
1008656381,Brenda Bell,1960-03-20,Peru,False,Event organiser,Salary,low
1009,Daniel Scott,1955-03-16,Croatia,False,Maintenance engineer,Business Income,medium
1009454370,Ashley Boyle,1992-11-24,Ethiopia,False,Further education lecturer,Investments,medium
1009483043,John Black,2002-11-28,Thailand,False,"Engineer, biomedical",Investments,low
101,Nicholas Smith,1956-04-06,Norfolk Island,False,Equities trader,Business Income,low
1010,Melinda Hendricks,1959-09-19,Iran,True,State Entity,Unknown,high
1010011974,Christopher Lewis,1988-07-15,South Georgia and the South Sandwich Islands,False,Community development worker,Salary,low
1010053518,Kayla Roth,1980-05-13,Croatia,False,Risk analyst,Business Income,low
1010268738,Katie Allen,1990-11-16,Luxembourg,False,Chartered loss adjuster,Business Income,medium
1010796720,Anthony Barber,1989-11-09,Gambia,False,Print production planner,Investments,low
1011,Marie Hernandez,1976-05-03,United Kingdom,False,"Engineer, broadcasting (operations)",Salary,low
1011104947,Jason Porter,1956-04-07,Uganda,False,"Designer, multimedia",Salary,medium
1011968666,Blake Campos,1947-03-17,New Caledonia,False,Textile designer,Business Income,medium
1012,Dr. Paula Hall DDS,1970-10-15,Central African Republic,False,Jewellery designer,Business Income,low
1012176180,Sara Frazier,1984-09-12,Falkland Islands (Malvinas),False,"Librarian, public",Salary,low
1012508585,Lori Adams,1955-04-17,United Arab Emirates,False,"Engineer, materials",Business Income,low
1012653159,Jennifer Hudson,1996-11-05,Malaysia,False,"Social research officer, government",Business Income,low
1013,William Nelson,2000-12-02,Burkina Faso,False,Ambulance person,Business Income,low
1013272285,Andre Lee,2007-06-07,Palestinian Territory,False,Theatre stage manager,Business Income,medium
1013392507,Lisa Jimenez,1980-10-11,Egypt,False,"Psychotherapist, dance movement",Salary,low
1013867315,Alexis Bridges,1957-12-19,South Africa,False,Tax adviser,Business Income,medium
1014,Victoria King,1993-06-21,Myanmar,False,Community pharmacist,Salary,medium
1014564142,Ian Torres,1965-08-07,Colombia,False,"Designer, fashion/clothing",Investments,low
1014734897,James Elliott,1996-12-26,Cape Verde,False,Community development worker,Salary,medium
1014875427,Joshua Townsend MD,1999-09-07,India,False,Building services engineer,Investments,medium
1014916936,Craig Fox,1963-02-04,Comoros,False,Psychotherapist,Salary,medium
1015,Elizabeth Campbell,1977-02-23,Swaziland,False,Farm manager,Salary,medium
1015019367,Nicole Black DVM,1974-05-16,Saudi Arabia,False,"Accountant, chartered public finance",Business Income,low
1015082420,Barbara Gonzalez,1993-06-02,India,False,"Accountant, chartered public finance",Investments,medium
1015091738,Richard Pitts,1987-12-16,Vanuatu,False,Energy manager,Salary,low
101514221,Mary Love,1985-02-27,Zimbabwe,False,"Civil engineer, consulting",Investments,medium
1015777578,Teresa Frost,1962-03-04,Egypt,False,Jewellery designer,Business Income,medium
1015854654,Jennifer Smith,1973-08-04,Mauritius,False,Investment analyst,Business Income,low
1015925241,Andrew Wilson,1968-08-08,Burkina Faso,False,Personal assistant,Salary,low
1016,Dawn Rodriguez,1979-07-12,Canada,False,"Psychologist, sport and exercise",Investments,medium
1016044206,Timothy Green,1957-02-24,North Macedonia,False,Commercial art gallery manager,Investments,low
1016508573,Ann Cox,1987-02-27,Korea,False,"Scientist, research (life sciences)",Salary,low
1016831827,Leonard Robinson,1948-10-19,Bouvet Island (Bouvetoya),False,"Surveyor, building",Investments,medium
1017,Heather Snyder,1976-07-20,Belgium,False,IT technical support officer,Salary,low
1017064247,Natasha Anderson,2002-04-23,Cuba,False,Translator,Business Income,low
1017347536,Thomas Walker,2003-05-25,Tokelau,False,Public librarian,Business Income,medium
1017657480,Stephanie Jones,1962-04-04,Israel,False,TEFL teacher,Salary,low
1017906794,Danielle Rogers,1950-03-09,Jersey,False,"Scientist, clinical (histocompatibility and immunogenetics)",Investments,low
1018744300,Cole Lopez,1972-03-08,Uruguay,False,Water quality scientist,Investments,low
1019,Walter Jacobs,1954-10-16,Tuvalu,False,Web designer,Business Income,medium
1019277807,Brent Johnson,1996-09-21,Cape Verde,False,Hydrogeologist,Investments,medium
1019693951,Mrs. Elizabeth Thompson,1993-08-22,French Southern Territories,False,Clinical cytogeneticist,Investments,medium
1019885327,Devin Adams,1974-01-07,Afghanistan,False,"Pharmacist, community",Business Income,low
1020414653,Terry Price,1976-09-01,Mauritius,False,Musician,Business Income,low
1020934931,Michael Knight,2007-07-15,Kyrgyz Republic,False,"Scientist, research (physical sciences)",Investments,medium
1020995375,April Mitchell,1963-11-20,Aruba,False,Economist,Investments,low
1021,Stacey Johnson,1969-03-14,Uruguay,False,Paramedic,Salary,low
1021067959,Claudia Powers,2000-09-13,Ukraine,False,"Psychologist, counselling",Salary,low
1021202820,Heidi Sexton,1968-08-01,Belgium,False,Operations geologist,Investments,medium
1021770675,Daniel Rodriguez,1952-05-29,Austria,False,Hotel manager,Salary,medium
1022,Sonia Atkins,2000-04-23,Antigua and Barbuda,False,Geographical information systems officer,Salary,medium
1022375616,Isaac Evans,1973-03-25,Bahamas,False,Ecologist,Salary,low
1022863622,Michael Greene,1953-05-25,Turks and Caicos Islands,False,Warehouse manager,Salary,low
1023,Deanna Neal,1958-03-04,Macao,False,"Scientist, physiological",Investments,low
102389632,Stephen Garner,1960-12-29,Korea,False,Research scientist (maths),Investments,low
1024,David Hardin,1977-09-16,Tokelau,False,Pensions consultant,Salary,medium
102403275,Sarah Ray,1959-09-18,Senegal,False,Actor,Salary,low
1024057502,Joshua Rivera,1945-07-14,Somalia,False,Dentist,Investments,low
1024158575,Michelle Cunningham,1948-01-29,Zambia,False,Games developer,Salary,medium
1024693097,Jennifer Wood,1967-11-07,Saint Kitts and Nevis,False,Bonds trader,Salary,low
1024804313,Patrick Rodriguez,1979-04-06,Liberia,False,Archaeologist,Investments,medium
1025,Melissa Smith,1952-09-01,Lesotho,False,"Horticulturist, commercial",Business Income,low
1025290412,Taylor Wallace,1972-09-19,Guatemala,False,"Engineer, production",Business Income,medium
1025527300,Kaitlyn Hays,1975-10-23,Bhutan,False,Fish farm manager,Salary,low
1025958413,Marie Moore,1955-08-01,Indonesia,False,Applications developer,Business Income,medium
1026,Rachel Dyer,2006-03-01,Russia,False,Crypto Broker,Cash,high
1027,Donald Andrews,1960-03-29,Ukraine,False,Chartered legal executive (England and Wales),Business Income,low
1027076246,Kathleen Hernandez,1952-03-16,Bulgaria,False,Field trials officer,Business Income,low
1027455177,James Joseph,1968-01-01,Reunion,False,Youth worker,Business Income,medium
1027471026,Nicole Mckee,1958-02-18,Bangladesh,False,"Designer, industrial/product",Business Income,low
1027651346,Aaron Robertson,1987-10-28,Gabon,False,Clinical psychologist,Business Income,medium
1028,Linda Burnett,1999-01-28,Lebanon,False,Quantity surveyor,Business Income,medium
102802426,Michele Mann,1997-03-29,Wallis and Futuna,False,"Journalist, broadcasting",Investments,medium
1028999879,Mr. Robert Martin,1996-11-05,Cote d'Ivoire,False,Animator,Salary,low
1029,Kendra Mitchell,1962-11-26,Bolivia,False,Data scientist,Salary,medium
102912254,Brian Rodriguez,1978-07-09,Mauritius,False,Building services engineer,Investments,low
102984272,Robert Turner,1944-11-26,New Zealand,False,"Accountant, chartered certified",Salary,medium
1029869846,Gary Curtis,2001-01-23,Syrian Arab Republic,False,Ranger/warden,Investments,low
102994224,Harold Rodriguez,1952-10-03,Pitcairn Islands,False,Osteopath,Salary,medium
103,Mr. Richard Olson,1978-03-15,Kazakhstan,False,Games developer,Salary,medium
1030,Lisa Hall,1972-10-28,Maldives,False,Probation officer,Salary,low
1030676446,Glenda Davis,1983-03-16,French Polynesia,False,Engineering geologist,Salary,low
1030692910,Jason Robinson,1978-09-10,Cayman Islands,False,Water engineer,Salary,low
1031,Karen Fischer,1984-02-11,Norfolk Island,False,Early years teacher,Salary,low
1031243774,Duane Durham,1962-08-17,Ireland,False,Forensic scientist,Investments,low
1031883559,April Mcdonald,1978-10-22,Qatar,False,Clinical molecular geneticist,Salary,medium
1032,Paula Smith,1985-12-07,Chile,False,Occupational psychologist,Salary,medium
1032067941,Jason Russell,1969-02-15,Argentina,False,Production engineer,Investments,medium
103225854,Katherine Cooper,1994-08-08,Czech Republic,False,Forensic psychologist,Salary,medium
1032381450,Bruce Mcknight,1981-01-22,Pitcairn Islands,False,Event organiser,Salary,medium
103259078,Brittany Anderson,1977-10-17,Tunisia,False,Television production assistant,Salary,medium
1032711148,Catherine Mclaughlin,1989-07-30,Nauru,False,English as a second language teacher,Salary,low
1032937558,Ricky Marquez,1992-03-24,Ethiopia,False,"Editor, magazine features",Salary,low
1033,Ronald Johnson,1956-07-21,Djibouti,False,"Runner, broadcasting/film/video",Investments,low
1033217244,Tommy Ferguson,1954-07-13,Kyrgyz Republic,False,Waste management officer,Business Income,low
1033268633,Howard Roth,1995-02-07,United States Minor Outlying Islands,False,Fitness centre manager,Investments,medium
1033334485,Lisa Carter,1952-08-08,Norway,False,"Psychologist, educational",Investments,medium
1033368311,Mark Garcia,1945-06-07,Panama,False,Nutritional therapist,Investments,low
1033504981,Kathryn Guzman,2006-11-05,Mozambique,False,Consulting civil engineer,Salary,medium
103397824,Michael Howard,1991-10-01,Russia,True,State Entity,Unknown,high
1034,Jessica Harris,1945-02-06,Faroe Islands,False,Multimedia specialist,Investments,low
1034478954,Robert King,1970-09-05,Korea,False,Further education lecturer,Salary,medium
103490431,Stephanie Harris,2005-04-01,Russian Federation,False,Civil Service fast streamer,Salary,medium
1035,Mathew Haynes,1991-08-29,Zambia,False,Restaurant manager,Investments,low
1035454084,Jennifer Horton,1997-02-14,Saudi Arabia,False,Secretary/administrator,Business Income,medium
1035817405,Alyssa Lopez,1959-03-05,Maldives,False,Dentist,Business Income,low
1035988354,Heather Woodward,1991-12-29,Sweden,False,Writer,Business Income,medium
1036,Shirley Reynolds,1973-05-14,Cocos (Keeling) Islands,False,Office manager,Salary,low
1036060720,Ricardo Santana,1946-12-04,French Polynesia,False,Magazine journalist,Salary,low
1036522841,Kristin Ortega,1957-04-01,Ecuador,False,Hotel manager,Salary,low
1036732324,Elizabeth Gallegos,1969-06-24,Uganda,False,Patent examiner,Salary,medium
1036966315,Andrew Lewis,1999-11-11,Sierra Leone,False,Biomedical scientist,Salary,medium
1037,Dustin Aguilar,1948-11-02,United Arab Emirates,False,Financial controller,Business Income,low
103738239,Jacob Davidson,1954-10-17,Armenia,False,Computer games developer,Business Income,low
1037646963,Kristina Watson,1993-02-17,Germany,False,"Programmer, applications",Investments,low
103778208,Anthony Smith,1986-09-04,Ghana,False,Health service manager,Business Income,low
1038,Isaiah Ferguson,2006-08-19,New Caledonia,False,Health service manager,Investments,low
1038925866,Kimberly Silva,1967-02-25,Kiribati,False,Ceramics designer,Business Income,medium
1039,Scott Edwards,1972-09-17,Brazil,False,Theatre manager,Salary,medium
1039261140,Katie Hines,1965-11-01,Kiribati,False,Dietitian,Salary,medium
1039521040,Erin Davis,1952-08-01,Saint Barthelemy,False,Leisure centre manager,Business Income,low
104,Michael Hamilton,1955-07-16,Zambia,False,"Librarian, academic",Salary,medium
1040,Nicole Delgado,1985-04-20,Moldova,False,"Lighting technician, broadcasting/film/video",Salary,low
1040238894,Angela Rojas,1994-11-04,Mayotte,False,"Engineer, civil (consulting)",Business Income,low
1040455133,David Garcia,1998-12-06,Turkey,False,"Education officer, environmental",Business Income,medium
1040548894,Thomas Mcdonald,1999-11-08,Niue,False,Air broker,Salary,medium
104076022,Mark Johnson,1973-02-18,Cocos (Keeling) Islands,False,Special educational needs teacher,Business Income,low
1040884799,Jonathan Gilbert,1951-09-16,Vietnam,False,Rural practice surveyor,Business Income,low
1041335819,Nancy Hinton,1957-06-28,Madagascar,False,Theatre manager,Business Income,medium
1041875273,Stephanie Lowery,1965-07-24,Paraguay,False,Fast food restaurant manager,Business Income,low
1041876290,Dr. Lynn Parrish,1978-11-28,Jordan,False,Geophysical data processor,Business Income,low
1041956507,Julia Daniel,1970-02-11,Colombia,False,Financial manager,Salary,low
1042,Clifford King,1960-02-06,Samoa,False,Barrister,Salary,low
1042074163,Steven Johnson,1984-10-20,Guam,False,"Engineer, mining",Salary,low
104208172,Melanie Fry,1997-04-15,Cambodia,False,"Optician, dispensing",Salary,medium
1043,James Dominguez,1987-12-22,Belarus,True,Consultant,Cash,high
1043391543,Brandon Hampton,1989-09-09,Cameroon,False,"Merchandiser, retail",Salary,medium
1043505774,Mitchell Bass,1959-05-03,Maldives,False,"Engineer, aeronautical",Salary,low
1043721841,Tracey Prince,1950-04-03,Syrian Arab Republic,False,Dealer,Salary,medium
1044033354,Alexis Brown,1992-12-03,Qatar,False,Osteopath,Salary,medium
1044089314,Audrey Jones,2007-06-18,San Marino,False,Garment/textile technologist,Salary,medium
1044092802,Anthony Smith,1985-11-16,Angola,False,Paramedic,Investments,medium
1044281458,Christian Perez,1967-02-05,Japan,False,Secondary school teacher,Business Income,medium
1044407325,Melissa Owen,1984-04-21,Zambia,False,Civil Service administrator,Investments,medium
1044694730,Sophia Brown,1950-01-06,Syrian Arab Republic,False,"Horticulturist, amenity",Salary,medium
104475600,Jessica Black,1998-10-12,Serbia,False,"Loss adjuster, chartered",Investments,low
1045,Nicole Cruz,1949-10-21,Belarus,True,Consultant,Cash,high
1045226910,John Elliott,1983-03-18,Nepal,False,Civil Service administrator,Investments,low
104522823,Pamela Rhodes,1963-06-21,Lithuania,False,Food technologist,Business Income,medium
1045658629,Rebecca Kennedy,1986-11-23,Cayman Islands,False,Meteorologist,Salary,low
1045918069,David Horne,1965-08-08,Pakistan,False,Radio broadcast assistant,Investments,medium
1046,Marisa Hamilton,1991-01-05,Botswana,False,"Editor, film/video",Business Income,medium
1046475444,Heather Petersen,1959-11-08,Kyrgyz Republic,False,"Scientist, product/process development",Investments,medium
1046636252,John Harvey,1956-10-28,Algeria,False,Optometrist,Salary,medium
1046658239,Wendy Farley,1958-01-05,Puerto Rico,False,"Engineer, electrical",Salary,medium
1046857726,Kayla Jones,1958-08-31,Lao People's Democratic Republic,False,Neurosurgeon,Salary,medium
1047,Christy Kidd,2000-01-27,Belarus,True,Crypto Broker,Crypto,high
1047803808,Kelly Lopez,1986-11-27,Saint Pierre and Miquelon,False,Logistics and distribution manager,Salary,low
1048,Christine Gomez,1977-12-29,Guadeloupe,False,"Horticulturist, commercial",Business Income,medium
1048041143,Ashley Carson,1977-02-16,Djibouti,False,Higher education lecturer,Salary,low
1048151621,George Clements,2002-03-08,Saint Martin,False,Customer service manager,Business Income,low
1048234912,Jo Cooper,1967-10-25,South Africa,False,Diagnostic radiographer,Investments,low
1048480600,Douglas Stewart,1960-03-04,Congo,False,Insurance broker,Business Income,medium
1048749723,Justin Barker,1945-05-06,Lao People's Democratic Republic,False,Associate Professor,Salary,low
1048754133,Randy Parks,2007-02-04,Bahamas,False,Make,Salary,low
1049,Thomas Richardson,1977-02-17,Northern Mariana Islands,False,Secretary/administrator,Investments,medium
104912216,Anthony Reeves,2000-11-24,Lebanon,False,Archaeologist,Salary,medium
1049218260,Becky Vasquez,1988-01-23,Belarus,False,Archaeologist,Salary,low
1049841134,Joseph Peterson,1951-02-08,Azerbaijan,False,Photographer,Salary,medium
105,Kyle Costa,1995-05-24,Cocos (Keeling) Islands,False,Diplomatic Services operational officer,Investments,low
1050,Ashley Robinson,1971-05-03,Australia,False,Neurosurgeon,Salary,medium
1050105854,Robert Boyd,2004-08-16,Kyrgyz Republic,False,Ecologist,Investments,low
1050437914,Alexis Jenkins,2006-11-26,France,False,Dance movement psychotherapist,Salary,medium
105072296,Patricia Becker,1997-04-13,Turkmenistan,False,Commissioning editor,Investments,low
1051,Kathy Freeman,1974-03-21,Aruba,False,"Engineer, site",Salary,low
1051051655,Scott Wilson,1992-02-10,Papua New Guinea,False,"Designer, textile",Business Income,medium
1051526266,Jessica Jones,1976-06-04,Tokelau,False,Insurance risk surveyor,Business Income,medium
105185176,Ashley Wilson,2007-03-28,Dominican Republic,False,Logistics and distribution manager,Business Income,medium
1052,Jason Wang,1975-12-15,Russia,True,State Entity,Unknown,high
1052526649,Lawrence Cross,1958-02-12,Antarctica (the territory South of 60 deg S),False,Special effects artist,Salary,low
1053533562,Ray Thomas,1980-06-22,British Indian Ocean Territory (Chagos Archipelago),False,Diplomatic Services operational officer,Business Income,medium
1053566331,Jason Gonzalez,2001-09-26,Estonia,False,"Scientist, audiological",Business Income,medium
1053922500,Nathan Harrell,1951-02-01,Comoros,False,Warden/ranger,Investments,medium
1053927137,April Carroll,1972-04-10,Anguilla,False,Copy,Salary,low
1054,Stephanie Anderson,1995-05-27,Nauru,False,"Programmer, multimedia",Salary,medium
1054153813,Daniel Nguyen,2005-08-18,Norway,False,Careers information officer,Salary,medium
1054163198,William Monroe,2000-04-26,Liberia,False,"Engineer, electronics",Investments,low
1054167985,Cindy Clark,1977-08-14,Micronesia,False,Interior and spatial designer,Business Income,medium
1054460532,Danielle James,1991-08-19,South Africa,False,Dramatherapist,Salary,medium
1054506924,Daniel Salinas,2007-07-22,Grenada,False,Radio broadcast assistant,Investments,low
105472848,Andrea Smith,1983-08-18,Ireland,False,Retail merchandiser,Investments,low
1055,Veronica Sullivan DVM,1953-02-21,Ireland,False,Environmental education officer,Salary,medium
1055267679,Rose Shelton,1997-06-16,Israel,False,Restaurant manager,Investments,medium
1056,Allison West,1997-03-06,Bangladesh,False,Fast food restaurant manager,Business Income,low
1056571782,Matthew Carter,1985-01-25,Fiji,False,Textile designer,Salary,medium
105685875,Frank Callahan,1980-07-13,Lebanon,False,Occupational therapist,Salary,medium
1056973323,Elizabeth Schultz,1989-06-22,Slovenia,False,Operational investment banker,Business Income,medium
1057,Jonathan Russell,1955-04-20,Brazil,False,Advertising art director,Business Income,low
1057063938,Valerie Rosales,1967-07-08,Greece,False,Pharmacologist,Salary,medium
1057118890,Erica Nguyen,2004-05-27,Oman,False,Musician,Business Income,medium
1057146886,Nicholas Jordan,1949-11-03,Mayotte,False,"Designer, television/film set",Salary,low
1057388918,Gregory Skinner,1949-02-20,Brazil,False,"Sales professional, IT",Salary,medium
1057517964,Ronald Hayes,1945-09-03,Iceland,False,Secondary school teacher,Investments,low
1057866426,Shawn Moore,1986-01-17,Dominica,False,Clothing/textile technologist,Investments,medium
1057924522,Jonathan Perkins,1970-03-19,United States Minor Outlying Islands,False,Environmental consultant,Business Income,medium
1058,Katherine Williams,2007-08-27,Slovakia (Slovak Republic),False,Site engineer,Salary,medium
1058795957,Eric Gibson,1958-10-31,French Polynesia,False,"Engineer, broadcasting (operations)",Investments,low
1058834493,Jordan Lewis,1963-11-05,Russia,True,Political Party Member,Unknown,high
105892333,Kristen Nelson MD,1963-04-24,Germany,False,Administrator,Salary,low
1059,Scott Gross,1982-01-06,Togo,False,Environmental manager,Investments,medium
1059085663,Linda Clayton,1954-10-19,Bahrain,False,Illustrator,Business Income,low
1059169887,Tiffany Cook,1977-08-25,Fiji,False,Ophthalmologist,Business Income,medium
1059249709,Jacob Luna,1974-10-22,Saint Pierre and Miquelon,False,Tour manager,Investments,low
1059330398,Daniel Parker,1955-12-26,Samoa,False,Curator,Investments,medium
1059680298,Nicole Velasquez,1967-12-28,French Guiana,False,Chief of Staff,Business Income,low
1059776363,Daryl Sanchez,1993-06-01,Botswana,False,Applications developer,Business Income,low
1059789631,Kimberly Morales,1959-10-15,Madagascar,False,"Biochemist, clinical",Salary,medium
1059982548,Jennifer Mcconnell,2006-05-12,Tuvalu,False,"Research officer, government",Salary,medium
106,Jennifer Gonzales,1990-05-20,Northern Mariana Islands,False,Print production planner,Business Income,low
1060,Susan Jennings,1992-06-03,Latvia,False,Occupational psychologist,Investments,low
1060047193,Thomas Brooks,1973-02-01,North Korea,True,Political Party Member,Unknown,high
1060260852,Robert Mckee,1973-04-24,Rwanda,False,Newspaper journalist,Business Income,medium
1060451637,Vincent Rogers,1999-02-28,Burundi,False,Multimedia programmer,Business Income,medium
1061,Mary Mcpherson,1972-01-16,Russia,True,Crypto Broker,Cash,high
1061233207,Dana Luna,1965-07-05,Comoros,False,Market researcher,Business Income,medium
106133007,Christopher Hunt,1995-04-09,New Zealand,False,Biomedical scientist,Business Income,low
1061677979,Mr. Tyler Silva,1962-07-14,Christmas Island,False,Agricultural engineer,Salary,medium
1061994585,Valerie Dennis,1966-01-11,Hong Kong,False,"Engineer, land",Investments,low
1062,Amanda Gutierrez,1987-01-29,Venezuela,False,"Geologist, engineering",Investments,low
1062606089,Sharon Wilson,1982-02-25,Malawi,False,Biomedical engineer,Business Income,medium
1062641900,Christine Fowler,1971-11-21,Japan,False,Applications developer,Business Income,low
1063,Christopher Taylor,1955-12-31,Cocos (Keeling) Islands,False,"Social research officer, government",Salary,low
1063228823,Emily Collins,1947-06-06,Holy See (Vatican City State),False,Music therapist,Salary,medium
1064,Jennifer Pittman,1969-01-30,British Indian Ocean Territory (Chagos Archipelago),False,Television camera operator,Salary,low
1064536641,David Snyder,1989-03-28,Dominica,False,"Therapist, occupational",Business Income,medium
1064582981,Evan Harris,1959-02-25,Bhutan,False,Dentist,Business Income,low
1064863534,Robert Johnson,1950-01-25,Greece,False,Probation officer,Investments,medium
1065,Wendy Scott,1988-08-03,Serbia,False,IT trainer,Investments,medium
1065032062,Christopher Martinez,1946-09-14,Sudan,False,"Engineer, electrical",Salary,medium
1065276391,Steven Mendoza,1964-11-14,Cuba,False,"Therapist, art",Salary,medium
1065297480,Jenna Reeves,1946-07-19,Chad,False,"Administrator, sports",Investments,low
1065695621,Samantha Watson,1961-12-06,Liechtenstein,False,"Engineer, civil (contracting)",Salary,low
1065695762,William Duncan,1949-04-25,Sao Tome and Principe,False,Building control surveyor,Investments,low
1066,Jodi Holloway,1994-09-26,Lebanon,False,"Biochemist, clinical",Salary,low
1066979791,Amber Long,1971-02-23,Russia,True,State Entity,Unknown,high
1066985200,Ryan Drake,2004-03-09,Northern Mariana Islands,False,Patent examiner,Investments,low
1067,Gary Bailey,1984-11-28,Sao Tome and Principe,False,Secretary/administrator,Salary,low
1067155365,Adam Perry,1976-10-10,Congo,False,Customer service manager,Investments,medium
1067361586,James Hudson,1961-07-05,El Salvador,False,Administrator,Salary,medium
1067476000,Steven Gutierrez,1953-10-12,Netherlands Antilles,False,Newspaper journalist,Business Income,low
1068061294,Stacey Evans,1949-10-17,Seychelles,False,Volunteer coordinator,Business Income,medium
1068125612,Frederick Harris,1972-09-23,New Caledonia,False,"Surveyor, building",Business Income,low
1068244911,Christopher Chen,1977-12-26,Eritrea,False,Immigration officer,Business Income,low
1068465525,Kelly Lewis,1982-06-24,Lao People's Democratic Republic,False,"Restaurant manager, fast food",Business Income,medium
1068601516,Lauren Vega,1995-09-13,Guinea,False,Podiatrist,Investments,medium
1069,Elizabeth Wilson,1981-12-27,Hungary,False,Interior and spatial designer,Salary,medium
1069374206,Lori Bryant,1952-01-13,Niger,False,Petroleum engineer,Business Income,low
1069699811,Stephen Watson,1965-11-08,French Guiana,False,Chief of Staff,Salary,medium
1070,Phillip Garcia,1946-02-27,Wallis and Futuna,False,Retail buyer,Business Income,medium
107009269,James Hooper,1986-02-01,Honduras,False,Insurance underwriter,Salary,low
1070557756,Richard Smith,1948-03-27,Mozambique,False,Clinical embryologist,Business Income,medium
1070668333,Kaitlyn Duncan,2006-04-06,Bahamas,False,Equities trader,Investments,medium
1071,Brian Griffin,1962-06-24,Isle of Man,False,Tour manager,Business Income,low
107147360,Wendy Smith,1972-04-22,Belarus,False,"Accountant, chartered",Business Income,low
1071672712,Kaitlyn Burke,1988-05-30,Marshall Islands,False,"Geologist, wellsite",Business Income,medium
1071685840,Ryan Mckinney,1983-04-14,Bahrain,False,Biomedical engineer,Business Income,medium
1071778615,Thomas Levy,1969-12-12,Russian Federation,False,"Scientist, audiological",Salary,low
1071926353,Mckenzie Preston MD,1993-10-06,Vietnam,False,"Editor, commissioning",Salary,low
1072,Roberto Clay,1974-08-12,Nepal,False,Environmental education officer,Investments,medium
1072942380,Karen Rubio,1996-12-29,Poland,False,Human resources officer,Salary,low
1073,Andrew Armstrong,2004-08-11,Croatia,False,"Scientist, product/process development",Salary,medium
1073643923,Marissa Becker,1990-08-31,Ireland,False,Control and instrumentation engineer,Salary,medium
1073749339,Ronnie Johnson,1997-01-29,Isle of Man,False,Commissioning editor,Business Income,low
1074,James Trujillo,1966-06-30,Guyana,False,Editorial assistant,Investments,low
